date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:55:23	64855/64855	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Sep%202024%2004:28:50%20GMT	http://img.zing.vn/products/codm/landing/battle-pass-1/pc/images/addition/addition-2.jpg	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/img.zing.vn/products/codm/landing/battle-pass-1/pc/images/addition/addition-2.jpg	(from http://img.zing.vn/products/codm/landing/battle-pass-1/pc/css-full/landing.css)
20:55:32	55194/55194	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Sep%202024%2004:28:50%20GMT	http://img.zing.vn/products/codm/landing/battle-pass-1/pc/images/addition/addition-4.jpg	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/img.zing.vn/products/codm/landing/battle-pass-1/pc/images/addition/addition-4.jpg	(from http://img.zing.vn/products/codm/landing/battle-pass-1/pc/css-full/landing.css)
20:55:32	1499/1499	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Sep%202024%2004:28:50%20GMT	http://img.zing.vn/products/codm/landing/battle-pass-1/pc/images/addition/icon-h2.png	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/img.zing.vn/products/codm/landing/battle-pass-1/pc/images/addition/icon-h2.png	(from http://img.zing.vn/products/codm/landing/battle-pass-1/pc/css-full/landing.css)
20:55:40	263802/263802	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Sep%202024%2004:28:50%20GMT	http://img.zing.vn/products/codm/landing/battle-pass-1/pc/images/bg-frame-3.jpg	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/img.zing.vn/products/codm/landing/battle-pass-1/pc/images/bg-frame-3.jpg	(from http://img.zing.vn/products/codm/landing/battle-pass-1/pc/css-full/landing.css)
20:55:41	1029/1029	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Sep%202024%2004:28:50%20GMT	http://img.zing.vn/products/codm/landing/battle-pass-1/pc/images/nav-arrow.png	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/img.zing.vn/products/codm/landing/battle-pass-1/pc/images/nav-arrow.png	(from http://img.zing.vn/products/codm/landing/battle-pass-1/pc/css-full/landing.css)
20:55:41	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Jun%202025%2013:55:41%20GMT	http://codm.360mobi.vn/robots.txt		(from https://codm.360mobi.vn/battlepass1)
20:55:44	143601/143601	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Sep%202024%2004:28:50%20GMT	http://img.zing.vn/products/codm/landing/battle-pass-1/pc/images/addition/addition-3.jpg	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/img.zing.vn/products/codm/landing/battle-pass-1/pc/images/addition/addition-3.jpg	(from http://img.zing.vn/products/codm/landing/battle-pass-1/pc/css-full/landing.css)
20:55:50	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/www.google-analytics.com/analytics.js	(from http://img.zing.vn/products/codm/landing/battle-pass-1/pc/js/script-battle-pass-1-v1.js?vr=1751291643)
20:55:53	160668/160668	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Sep%202024%2004:28:50%20GMT	http://img.zing.vn/products/codm/landing/battle-pass-1/pc/images/bg-cta.jpg	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/img.zing.vn/products/codm/landing/battle-pass-1/pc/images/bg-cta.jpg	(from http://img.zing.vn/products/codm/landing/battle-pass-1/pc/css-full/landing.css)
20:55:55	445446/445446	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Sep%202024%2004:28:50%20GMT	http://img.zing.vn/products/codm/landing/battle-pass-1/pc/images/bg-header.jpg	E:/MARKETING/Call%20of%20Duty%20Mobile%20VN/Battle%20Pass%20Landing%20Pages/CODM%20-%20Battle%20Pass%20Landing%20Pages/img.zing.vn/products/codm/landing/battle-pass-1/pc/images/bg-header.jpg	(from http://img.zing.vn/products/codm/landing/battle-pass-1/pc/css-full/landing.css)
